MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
11095,58439,120,0.40871280431747437
10292,58113,773,0.3630589544773102
10292,58113,762,0.3632151484489441
10662,58158,500,0.36835965514183044
10662,58158,491,0.367277055978775
10292,58113,422,0.3248748779296875
10291,58101,26,0.3172822892665863
10293,58132,140,0.3236141502857208
10292,58113,180,0.3250296115875244
10292,58113,178,0.3199924826622009
10292,58113,137,0.32182419300079346
10292,58113,214,0.3178566098213196
10292,58113,134,0.3194877505302429
10292,58113,174,0.3190753757953644
10292,58113,173,0.31533998250961304
4451,55537,972,0.3745576739311218
10289,58133,710,0.3725827932357788
10289,58133,756,0.3742201030254364
10289,58133,758,0.37311896681785583
10289,58133,752,0.3709162771701813
10289,58133,396,0.42979493737220764
10289,58133,618,0.4287123680114746
10289,58133,393,0.43139925599098206
4457,55858,526,0.40408840775489807
10289,58133,434,0.39890605211257935
10288,58131,28,0.4045717120170593
10289,58133,472,0.40437355637550354
10289,58133,428,0.4118656516075134
11121,58438,772,0.32301270961761475
11121,58438,771,0.31560957431793213
11121,58438,770,0.32063889503479004
11120,58510,840,0.4435636103153229
10662,58158,266,0.4121890068054199
10662,58158,284,0.40855565667152405
10662,58158,286,0.4136980175971985
10662,58158,291,0.41068097949028015
10662,58158,285,0.40834343433380127
4450,55540,626,0.41127869486808777
10662,58158,281,0.4092988073825836
931,52619,188,0.41416019201278687
10657,58157,611,0.43829405307769775
10657,58157,617,0.43825897574424744
10657,58157,655,0.43750709295272827
10657,58157,610,0.4429372251033783
4450,55540,299,0.4315197467803955
8423,58198,605,0.2969987392425537
10665,58456,290,0.38699132204055786
10665,58456,282,0.3895152509212494
11678,58511,594,0.3045044243335724
11678,58511,593,0.30298468470573425
11678,58511,556,0.30741989612579346
11678,58511,553,0.3061061203479767
11678,58511,620,0.41278573870658875
11678,58511,614,0.41089701652526855
11346,58429,562,0.4492141902446747
5803,56272,277,0.44994017481803894
11345,58428,892,0.3633584678173065
1937,53388,583,0.35958850383758545
5779,56338,715,0.44593316316604614
11344,58438,280,0.4458928108215332
11677,58510,370,0.3236923813819885
11378,58437,397,0.3115789294242859
11379,58438,342,0.3345392346382141
5800,56279,513,0.34066349267959595
8423,58198,638,0.3559723496437073
11350,58455,599,0.3808148503303528
11350,58455,593,0.37747302651405334
11350,58455,596,0.3756505250930786
11350,58455,632,0.3849160969257355
11350,58455,606,0.37878119945526123
11350,58455,608,0.3733484745025635
11350,58455,642,0.3788958191871643
11350,58455,646,0.37819704413414
11350,58455,600,0.38092103600502014
11350,58455,640,0.38006070256233215
11350,58455,635,0.3823064863681793
11350,58455,924,0.324969619512558
11383,58485,200,0.4191863536834717
6452,56366,757,0.37728074193000793
11384,58522,320,0.38242200016975403
6452,56366,746,0.3770107924938202
6452,56366,799,0.37077629566192627
6452,56366,744,0.37168994545936584
11384,58522,366,0.3766692876815796
6452,56366,752,0.3813134729862213
11384,58522,362,0.3760717809200287
6452,56366,758,0.3766072392463684
11384,58522,322,0.3756735324859619
6452,56366,798,0.3783951997756958
11352,58456,733,0.32676368951797485
11352,58456,762,0.3254333734512329
11352,58456,48,0.3486522436141968
11397,58522,512,0.37533584237098694
11397,58522,516,0.37292784452438354
6478,56341,112,0.3755689263343811
11397,58522,336,0.3705642521381378
11397,58522,332,0.3773958683013916
11397,58522,331,0.37418732047080994
6481,56363,494,0.371976763010025
11397,58522,289,0.37174925208091736
11397,58522,291,0.3737125098705292
11397,58522,298,0.3753795623779297
6489,56329,912,0.3423563838005066
11401,58491,28,0.3434968590736389
6489,56329,663,0.4452982246875763
11401,58491,255,0.44652995467185974
8424,58248,548,0.3628714680671692
8424,58248,545,0.35985690355300903
10918,58254,397,0.42644548416137695
10918,58254,400,0.4192919433116913
7711,57667,476,0.3729804456233978
7711,57667,474,0.37101680040359497
7375,56981,891,0.4161475598812103
7375,56981,755,0.4166399836540222
7375,56981,757,0.4239048957824707
5151,56567,785,0.41858214139938354
7375,56981,792,0.4189624786376953
7652,57579,437,0.34365105628967285
7655,57336,590,0.42183375358581543
7655,57336,585,0.4229198396205902
7655,57336,634,0.42239195108413696
6297,56218,996,0.42404353618621826
7651,57654,46,0.4184585511684418
7656,57338,478,0.2967996299266815
6297,56218,24,0.30290067195892334
6296,56219,434,0.3089542090892792
6297,56218,6,0.3057038187980652
7654,57330,982,0.301114559173584
6297,56218,28,0.30385273694992065
6297,56218,22,0.3128259778022766
6297,56218,8,0.3055746257305145
7655,57336,619,0.2968248426914215
7655,57336,654,0.30785608291625977
6296,56219,435,0.3005528748035431
6296,56219,422,0.3046208322048187
6296,56219,423,0.3076123297214508
7655,57336,656,0.29979246854782104
6296,56219,395,0.3072202503681183
7768,58289,250,0.33796000480651855
7768,58289,300,0.34144437313079834
7768,58289,266,0.3443585932254791
7768,58289,262,0.34224098920822144
7704,57572,700,0.30920088291168213
6293,56561,520,0.3917323648929596
7768,58289,378,0.3945035934448242
7656,57338,862,0.39438244700431824
7652,57579,46,0.33809855580329895
7704,57572,360,0.2986217737197876
7704,57572,309,0.3041490316390991
7704,57572,314,0.30208268761634827
6582,56274,763,0.4067053496837616
7706,57575,388,0.4064280092716217
7656,57338,240,0.3404025733470917
7656,57338,234,0.3344684839248657
7656,57338,226,0.3411708176136017
6295,56536,818,0.3345082998275757
7656,57338,270,0.3318954408168793
7658,57312,554,0.3346330523490906
7700,58016,782,0.30353301763534546
7702,58017,625,0.39559420943260193
7770,58044,87,0.39902713894844055
7770,58044,88,0.4020330011844635
7702,58017,623,0.3981688320636749
7770,58044,84,0.3984602093696594
6583,56566,278,0.39881187677383423
7702,58017,766,0.39638751745224
7702,58017,770,0.4030887186527252
6587,56537,746,0.39140114188194275
6587,56537,745,0.3989548981189728
6587,56537,748,0.39216139912605286
6587,56537,744,0.39284712076187134
6587,56537,718,0.3956286907196045
6581,56540,464,0.3932386338710785
6583,56566,130,0.3989054560661316
6581,56540,462,0.3917258381843567
6587,56537,754,0.3909965753555298
7699,57574,442,0.36231428384780884
7699,57574,445,0.36746320128440857
6305,56563,601,0.3651631474494934
7699,57574,443,0.36446332931518555
6305,56563,602,0.36245399713516235
7668,57579,705,0.3650108575820923
6305,56563,609,0.36552900075912476
7699,57574,449,0.36701542139053345
7668,57579,710,0.35970479249954224
7699,57574,382,0.3359368145465851
7663,57328,606,0.4285021722316742
7595,56957,820,0.41555148363113403
6879,56539,363,0.4145148694515228
6110,56279,925,0.40265917778015137
7595,56957,779,0.4093836843967438
6879,56539,364,0.40670546889305115
6110,56279,978,0.41035428643226624
6110,56279,970,0.41174250841140747
6879,56539,362,0.4168093502521515
7595,56957,817,0.4168955385684967
7595,56957,819,0.4114881157875061
7595,56957,851,0.41222381591796875
6110,56279,965,0.41435638070106506
7678,57282,270,0.31377193331718445
7678,57282,280,0.309598833322525
5700,56245,767,0.39756104350090027
7675,57327,126,0.3963598906993866
7620,56904,667,0.4014679491519928
7619,56900,832,0.39433449506759644
7619,56900,873,0.3981477618217468
7619,56900,838,0.39498481154441833
6200,56217,894,0.3758484721183777
7684,57286,145,0.3191060721874237
5107,55940,563,0.32026952505111694
7684,57286,154,0.31891366839408875
5115,55885,921,0.3182051479816437
7631,57279,99,0.4253270924091339
7631,57279,98,0.42388153076171875
5112,55895,313,0.4432845711708069
11113,58425,412,0.40135863423347473
11112,58428,384,0.39213353395462036
11112,58428,386,0.39218926429748535
11112,58428,347,0.4051455855369568
11112,58428,379,0.3943674564361572
11112,58428,388,0.3984712064266205
11112,58428,380,0.4047718942165375
11112,58428,393,0.3941914439201355
11112,58428,389,0.39714524149894714
11112,58428,341,0.39510175585746765
11112,58428,352,0.3936466574668884
11112,58428,378,0.39772292971611023
1265,52705,488,0.325112909078598
448,51900,412,0.34708914160728455
7373,56990,935,0.3491128981113434
7373,56990,932,0.346089631319046
11120,58510,301,0.36412784457206726
11118,58522,366,0.39143145084381104
4481,55630,952,0.3913545310497284
11109,58523,800,0.393041729927063
11118,58522,367,0.3937845230102539
11109,58523,797,0.3961469233036041
11109,58523,819,0.3884722590446472
