MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
1060,52636,376,0.16079244017601013
10292,58113,461,0.1606471985578537
931,52619,289,0.2630244791507721
4450,55540,540,0.2621110677719116
10289,58133,904,0.26379185914993286
10662,58158,311,0.26352381706237793
1206,52670,466,0.23795920610427856
1206,52670,475,0.23631690442562103
10289,58133,282,0.23671448230743408
10289,58133,257,0.23665370047092438
1206,52670,142,0.28718245029449463
4457,55858,264,0.2878986895084381
4457,55858,269,0.28690192103385925
10289,58133,202,0.2869760990142822
11114,58437,562,0.2012813836336136
11114,58437,576,0.2016305774450302
11125,58433,558,0.2631763517856598
1207,52672,199,0.17237704992294312
10657,58157,757,0.17400020360946655
10657,58157,759,0.17293201386928558
1267,52932,56,0.2494601160287857
4461,55888,150,0.24305842816829681
11125,58433,16,0.24186483025550842
11124,58430,419,0.24220101535320282
1590,52974,620,0.26377856731414795
10666,58440,342,0.28615960478782654
1589,52972,587,0.2860773801803589
10666,58440,346,0.28514984250068665
10659,58161,789,0.1899518370628357
10659,58161,833,0.19364798069000244
5183,55976,358,0.19609390199184418
10659,58161,793,0.19449478387832642
1589,52972,262,0.19728749990463257
1588,52965,540,0.19957873225212097
10659,58161,988,0.2010793834924698
10659,58161,982,0.19847308099269867
10660,58466,576,0.20119333267211914
11376,58430,239,0.25591427087783813
5796,56274,584,0.2963375449180603
1939,53389,107,0.2958775460720062
5803,56272,137,0.2936754524707794
11344,58438,674,0.2407570332288742
1936,53330,214,0.24224770069122314
5781,56337,58,0.24336832761764526
5779,56338,630,0.24026638269424438
5779,56338,629,0.24253243207931519
11344,58438,673,0.2408403754234314
11344,58438,16,0.1797132045030594
11345,58428,597,0.1825888454914093
11344,58438,17,0.18028724193572998
11344,58438,11,0.18202267587184906
11344,58438,38,0.18110549449920654
1937,53388,139,0.1799919605255127
11345,58428,328,0.18111419677734375
1947,53431,439,0.21049854159355164
11378,58437,103,0.2108488380908966
11346,58429,888,0.2991674542427063
11346,58429,882,0.29909059405326843
5801,56328,298,0.2528546452522278
1947,53431,231,0.2531251609325409
11348,58438,760,0.25235259532928467
11349,58441,614,0.20296695828437805
11348,58438,39,0.2044980525970459
1947,53431,13,0.20287996530532837
11348,58438,40,0.20406144857406616
11348,58438,92,0.24385730922222137
1947,53431,45,0.24543754756450653
1947,53431,56,0.24390143156051636
11349,58441,540,0.2445705533027649
11704,58514,460,0.27357494831085205
5791,56255,600,0.27377957105636597
5790,56271,948,0.23578381538391113
2297,53738,281,0.220704585313797
2296,53735,367,0.2211369425058365
1950,53436,146,0.2489921748638153
11350,58455,497,0.18451903760433197
2345,53757,461,0.18600930273532867
11349,58441,112,0.18728242814540863
11350,58455,499,0.18395215272903442
2354,53799,325,0.24203120172023773
11383,58485,440,0.24158723652362823
11382,58456,14,0.2403193861246109
1969,53383,301,0.27266645431518555
6798,56485,464,0.2766997516155243
6802,56456,46,0.27714672684669495
8423,58198,957,0.28721025586128235
6786,56448,869,0.2711372375488281
8068,57185,564,0.27012091875076294
6786,56448,662,0.26925909519195557
8068,57185,562,0.2686065137386322
5955,56456,590,0.252309650182724
5149,55944,640,0.2742108106613159
7280,56709,702,0.2740866541862488
5963,56191,454,0.25749605894088745
7645,57573,217,0.25769609212875366
5962,56265,246,0.286455363035202
5958,56213,916,0.2872101664543152
7652,57579,541,0.2026452124118805
6585,56479,824,0.2020687758922577
11633,58463,113,0.20271921157836914
7711,57667,168,0.17639660835266113
6586,56485,392,0.17724977433681488
7711,57667,170,0.1765381395816803
5956,56104,334,0.2377442568540573
7649,57574,952,0.23562517762184143
6295,56536,524,0.2967434823513031
6296,56219,937,0.2973843514919281
7655,57336,963,0.29586705565452576
5956,56104,326,0.24041001498699188
7649,57574,80,0.24219174683094025
7650,57575,425,0.24286483228206635
7649,57574,78,0.24040284752845764
1872,53386,599,0.2729780972003937
7375,56981,653,0.2749895453453064
6296,56219,458,0.2749471366405487
7655,57336,468,0.27532759308815
7648,57329,912,0.16728661954402924
6300,56449,602,0.16817259788513184
7648,57329,910,0.16558733582496643
7654,57330,496,0.1659344732761383
7654,57330,492,0.1663002222776413
7654,57330,494,0.16546569764614105
6294,56482,976,0.19474299252033234
7768,58289,693,0.19494767487049103
7768,58289,359,0.1937962770462036
7652,57579,808,0.1953599750995636
6293,56561,198,0.288435697555542
7706,57575,642,0.28791525959968567
6582,56274,547,0.18240121006965637
7656,57338,98,0.18222874402999878
7656,57338,90,0.18212226033210754
6304,56570,360,0.2123599350452423
7701,57356,376,0.21152262389659882
7669,57329,827,0.21350575983524323
7281,57007,934,0.26564693450927734
1871,53384,547,0.26629889011383057
7703,57333,13,0.2579557001590729
7765,58047,373,0.20198681950569153
7765,58047,372,0.20146508514881134
7770,58044,840,0.19808781147003174
7699,57574,134,0.2833779752254486
7667,57580,546,0.28235286474227905
7752,58072,726,0.2965978980064392
7752,58072,735,0.29417362809181213
6512,56567,829,0.27599209547042847
6498,56565,398,0.27438247203826904
6512,56567,832,0.2764759063720703
6515,56536,594,0.25435179471969604
7698,58013,717,0.25446876883506775
7698,58013,719,0.2554454207420349
7698,58013,985,0.19923025369644165
6512,56567,376,0.20463761687278748
6512,56567,334,0.20223368704319
6515,56536,948,0.2040579468011856
7696,57655,529,0.1995212882757187
6516,56571,162,0.17453308403491974
7667,57580,684,0.17395012080669403
7664,57367,419,0.24298018217086792
7664,57367,380,0.2444031536579132
7663,57328,642,0.17424485087394714
6882,56541,401,0.1991615891456604
7591,56954,682,0.1990283876657486
7591,56954,732,0.19936899840831757
1871,53384,222,0.26295724511146545
7281,57007,372,0.263454407453537
6286,56301,301,0.2402247190475464
7673,57329,304,0.24150662124156952
6194,56190,845,0.19564200937747955
7678,57282,809,0.26050645112991333
7679,57367,453,0.26116111874580383
5701,55949,890,0.26082688570022583
7678,57282,814,0.26126861572265625
5700,56245,698,0.18400411307811737
7620,56904,606,0.18372967839241028
7620,56904,564,0.18431124091148376
444,51883,454,0.18568217754364014
7277,56748,299,0.1846354454755783
