MEM_PLATE,MEM_MJD,MEM_FIBERID,MEM_Z_NOQSO
6512,56567,327,0.20355083048343658
7667,57580,649,0.17738039791584015
7667,57580,681,0.17376142740249634
7667,57580,646,0.17080682516098022
7699,57574,42,0.17660483717918396
7699,57574,43,0.17594964802265167
7667,57580,641,0.1758444756269455
7667,57580,645,0.17510251700878143
7665,57328,864,0.24373681843280792
7664,57367,420,0.24317185580730438
6877,56544,164,0.23963113129138947
7665,57328,868,0.24066515266895294
7664,57367,414,0.24108874797821045
7664,57367,410,0.24260586500167847
6877,56544,126,0.2436484843492508
7665,57328,912,0.23900382220745087
6881,56540,714,0.17499861121177673
7663,57328,601,0.17103952169418335
7300,56707,626,0.2607904374599457
7281,57007,328,0.2649058997631073
7281,57007,334,0.26842865347862244
7673,57329,266,0.2450319230556488
7673,57329,302,0.24585090577602386
7673,57329,338,0.2405533343553543
7672,57339,951,0.24101556837558746
7673,57329,340,0.23785585165023804
7673,57329,344,0.24058756232261658
7616,56902,856,0.19639985263347626
6194,56190,812,0.19836899638175964
7616,56902,898,0.1977880448102951
6194,56190,854,0.1968357414007187
6194,56190,807,0.20017074048519135
7616,56902,881,0.19372358918190002
7616,56902,899,0.19680970907211304
7616,56902,926,0.19592700898647308
7678,57282,780,0.26076385378837585
5701,55949,892,0.2668159306049347
7678,57282,810,0.25819581747055054
7678,57282,817,0.2677422761917114
7302,57012,676,0.19007658958435059
7630,57006,547,0.26677027344703674
7625,57011,167,0.26676180958747864
1782,53299,250,0.17000682651996613
7376,56749,218,0.16865567862987518
7376,56749,214,0.1691540628671646
7301,56746,754,0.16588915884494781
7376,56749,165,0.16823987662792206
7289,57039,650,0.2672255039215088
5729,56598,650,0.2684193253517151
7295,57067,868,0.26689696311950684
7295,57067,862,0.2660053074359894
7681,57042,188,0.2669368386268616
7681,57042,176,0.2685859799385071
7681,57042,177,0.2612132132053375
7687,57007,418,0.2282167673110962
7687,57007,426,0.22996355593204498
7687,57007,424,0.2304123491048813
7687,57007,390,0.2243920862674713
7687,57007,391,0.23141151666641235
8193,57333,394,0.2350679337978363
8193,57333,396,0.23421090841293335
8193,57333,387,0.23252713680267334
7631,57279,118,0.20681063830852509
7631,57279,107,0.20799261331558228
7631,57279,156,0.20341043174266815
7631,57279,150,0.20458950102329254
7631,57279,152,0.20855656266212463
7631,57279,157,0.20370347797870636
7629,56988,564,0.1818615049123764
7629,56988,607,0.1767721176147461
7630,57006,25,0.20312459766864777
1785,54439,125,0.22049236297607422
7687,57007,773,0.20124457776546478
7687,57007,804,0.19861094653606415
7687,57007,812,0.19876258075237274
7687,57007,811,0.20166705548763275
7687,57007,815,0.195573627948761
7632,56987,592,0.1620461493730545
7633,56931,426,0.22851088643074036
7633,56931,465,0.22694648802280426
8198,57374,370,0.17310987412929535
8198,57374,363,0.1759771853685379
8198,57374,368,0.17368580400943756
8198,57374,333,0.173247292637825
11084,58427,506,0.16696283221244812
4473,55589,754,0.2475663125514984
11113,58425,486,0.254462331533432
11103,58488,987,0.2503933608531952
11113,58425,496,0.24850687384605408
8196,57346,582,0.1967548429965973
7278,57041,976,0.189962238073349
8198,57374,231,0.19469884037971497
8196,57346,670,0.1977704018354416
8196,57346,716,0.19452159106731415
11103,58488,453,0.24279218912124634
11103,58488,454,0.23991729319095612
11103,58488,28,0.1961340308189392
1203,52669,421,0.26970046758651733
11103,58488,253,0.26736772060394287
11103,58488,252,0.2665184438228607
11082,58508,530,0.18743012845516205
11118,58522,899,0.24331392347812653
11118,58522,140,0.24435417354106903
1926,53317,421,0.2165946513414383
11118,58522,92,0.2243596315383911
11118,58522,82,0.22107723355293274
11118,58522,81,0.2210114449262619
11115,58514,804,0.2577386200428009
11115,58514,846,0.2517358064651489
11115,58514,841,0.25214478373527527
11115,58514,839,0.24898763000965118
11115,58514,808,0.2560204863548279
11115,58514,806,0.2542559802532196
5180,55947,270,0.2550734877586365
11115,58514,208,0.22449536621570587
11106,58511,948,0.2253139615058899
11115,58514,202,0.22699002921581268
11115,58514,250,0.22407636046409607
11115,58514,203,0.22241555154323578
11106,58511,909,0.22595064342021942
8196,57346,468,0.2621476948261261
8196,57346,463,0.2596553564071655
8196,57346,424,0.2655496597290039
8196,57346,471,0.2608552873134613
8196,57346,473,0.2672809064388275
8196,57346,470,0.26323646306991577
7275,57093,828,0.26011449098587036
8196,57346,467,0.2673673927783966
8196,57346,469,0.2628330588340759
8196,57346,436,0.2598171830177307
8196,57346,425,0.26418864727020264
11677,58510,492,0.15752992033958435
11678,58511,73,0.1576027125120163
11678,58511,74,0.15768447518348694
2087,53415,258,0.15374916791915894
11677,58510,488,0.1543172299861908
11678,58511,24,0.15398330986499786
11675,58523,772,0.16259557008743286
11675,58523,810,0.15941590070724487
11675,58523,815,0.15991999208927155
11675,58523,769,0.16050083935260773
11675,58523,766,0.16303689777851105
5154,55864,911,0.24761976301670074
5154,55864,919,0.2441110610961914
5154,55864,917,0.24332328140735626
7279,57071,428,0.24834293127059937
7279,57071,424,0.2452651858329773
7276,57061,954,0.24936455488204956
7279,57071,429,0.24802397191524506
7276,57061,919,0.24691422283649445
7279,57071,420,0.24153701961040497
7275,57093,480,0.19075481593608856
5154,55864,397,0.28419968485832214
7288,57039,568,0.2468830943107605
5154,55864,36,0.2529982030391693
5154,55864,28,0.25201573967933655
7276,57061,23,0.2452343851327896
7276,57061,468,0.27655544877052307
7276,57061,205,0.24721889197826385
7276,57061,180,0.2494036704301834
7276,57061,203,0.2522117495536804
7276,57061,150,0.2516331672668457
7276,57061,178,0.25111716985702515
7276,57061,161,0.24854576587677002
8198,57374,138,0.28281718492507935
8198,57374,110,0.2803021967411041
8198,57374,142,0.28344088792800903
8198,57374,143,0.2821771800518036
8198,57374,88,0.2614379823207855
8198,57374,131,0.2617129385471344
8196,57346,743,0.2641611099243164
8198,57374,134,0.26424703001976013
8196,57346,318,0.2726176977157593
8196,57346,312,0.2800459563732147
8196,57346,777,0.2813519239425659
8196,57346,779,0.27082201838493347
556,51991,529,0.17156733572483063
8191,57390,432,0.17043226957321167
8192,57348,990,0.17179103195667267
8192,57348,994,0.17136333882808685
8191,57390,424,0.16928310692310333
8192,57348,989,0.16843855381011963
8192,57348,992,0.17283867299556732
8191,57390,422,0.17304831743240356
8196,57346,242,0.1851900964975357
8196,57346,162,0.18123167753219604
555,52266,386,0.17711548507213593
7285,56991,803,0.17730934917926788
8188,57348,388,0.22297991812229156
8188,57348,427,0.21793143451213837
7286,57096,145,0.19792617857456207
7286,57096,141,0.2008219063282013
8190,57448,280,0.19934311509132385
8190,57448,320,0.19809593260288239
8190,57448,270,0.20170533657073975
8190,57448,279,0.20140628516674042
8190,57448,236,0.20204408466815948
8186,57452,510,0.22759832441806793
946,52407,460,0.23590201139450073
8186,57452,508,0.2317677140235901
8191,57390,19,0.22576577961444855
8187,57423,519,0.23138651251792908
8191,57390,35,0.23556670546531677
7085,56625,338,0.2283400297164917
8191,57390,16,0.23480772972106934
8187,57423,545,0.22494369745254517
8191,57390,990,0.23147688806056976
8187,57423,514,0.2296839952468872
8186,57452,310,0.19195227324962616
8186,57452,301,0.1916530579328537
7640,57311,230,0.25521495938301086
7640,57311,268,0.25813156366348267
7640,57311,218,0.2586536407470703
7639,57297,211,0.2410360872745514
7639,57297,212,0.242096409201622
7639,57297,161,0.24765107035636902
7576,56948,595,0.24243536591529846
7643,57302,698,0.2796463668346405
5951,56102,680,0.24964725971221924
7580,56955,765,0.24564245343208313
7580,56955,763,0.24926340579986572
7643,57302,108,0.21966107189655304
7579,56954,57,0.28062039613723755
7578,56956,680,0.27700307965278625
7579,56954,82,0.27834150195121765
7579,56954,54,0.278677761554718
7578,56956,585,0.27442944049835205
7578,56956,920,0.15826940536499023
7578,56956,923,0.15363632142543793
7577,56944,754,0.212779700756073
7653,57306,165,0.25453686714172363
7653,57306,166,0.2631264626979828
7653,57306,167,0.257095605134964
7587,57297,504,0.253134548664093
7653,57306,171,0.25690096616744995
7586,57186,289,0.17126430571079254
7586,57186,323,0.17569853365421295
7586,57186,254,0.17207731306552887
7586,57186,240,0.1762276291847229
7586,57186,281,0.17692600190639496
7586,57186,238,0.17477403581142426
7586,57186,311,0.17085620760917664
7586,57186,259,0.17469817399978638
7586,57186,256,0.17422066628932953
7586,57186,288,0.1681879311800003
7613,56988,649,0.27242353558540344
7613,56988,657,0.2811751067638397
7613,56988,658,0.27946633100509644
7613,56988,618,0.2702164947986603
7613,56988,619,0.278493195772171
7613,56988,620,0.2751254141330719
7614,57307,407,0.2896808087825775
6121,56187,735,0.29759612679481506
6121,56187,728,0.2983863651752472
6121,56187,692,0.2962436378002167
6121,56187,737,0.29479944705963135
6121,56187,689,0.2934705913066864
6121,56187,318,0.29420143365859985
6121,56187,320,0.29670271277427673
6121,56187,319,0.2958769202232361
6121,56187,740,0.2961329519748688
6121,56187,687,0.2939112186431885
7670,57328,736,0.25039759278297424
7670,57328,734,0.2545325756072998
7670,57328,732,0.24935999512672424
7606,56977,803,0.2928787171840668
7603,56960,318,0.2816050946712494
7603,56960,359,0.28186696767807007
6124,56211,911,0.16280551254749298
6124,56211,916,0.16312730312347412
6115,56237,138,0.16073517501354218
6115,56237,132,0.16442295908927917
6124,56211,905,0.16253162920475006
6115,56237,88,0.1650518923997879
6124,56211,956,0.1652684062719345
6115,56237,92,0.16068662703037262
6124,56211,960,0.1619405448436737
6124,56211,928,0.1617489606142044
6124,56211,872,0.16137266159057617
6124,56211,880,0.16308176517486572
6124,56211,875,0.16292232275009155
6115,56237,174,0.16352245211601257
6124,56211,922,0.16702622175216675
6115,56237,86,0.16549095511436462
6124,56211,479,0.2977508008480072
7607,56902,876,0.2986188232898712
6124,56211,520,0.3025911748409271
7604,56947,530,0.3031317889690399
6124,56211,518,0.2913566529750824
6124,56211,540,0.2952962815761566
6124,56211,478,0.2980411946773529
6124,56211,494,0.2951180040836334
6123,56217,110,0.29545149207115173
6305,56563,274,0.2845189869403839
7668,57579,888,0.28934869170188904
6305,56563,283,0.288101464509964
6305,56563,295,0.2858963906764984
6305,56563,293,0.28869420289993286
7597,56973,963,0.21574129164218903
7597,56973,967,0.2139432430267334
6521,56537,116,0.2117534875869751
7597,56973,62,0.21370592713356018
7597,56973,100,0.2124810814857483
7597,56973,61,0.20997069776058197
7597,56973,72,0.21158862113952637
7597,56973,112,0.21205483376979828
7597,56973,68,0.2142191082239151
7597,56973,101,0.21647846698760986
7597,56973,67,0.21316711604595184
7598,56956,824,0.21457093954086304
7598,56956,821,0.20847855508327484
7598,56956,866,0.21075637638568878
7598,56956,864,0.2133539468050003
7598,56956,902,0.2080155909061432
7601,56959,908,0.18898122012615204
6520,56541,381,0.18615800142288208
7600,56984,323,0.18402448296546936
7600,56984,322,0.18629653751850128
7600,56984,324,0.18743301928043365
7601,56959,870,0.18811631202697754
7595,56957,687,0.2817772626876831
6193,56237,106,0.15643300116062164
6193,56237,104,0.1543450951576233
6193,56237,156,0.1519809514284134
6193,56237,115,0.15291650593280792
