# col1      z        survey   logLX   mag    
  0.283     1.6      22       43.55   -99.9  
  7.44      2.717    22       45.48   -99.9  
  0.9744    1.856    22       44.23   -99.9  
  0.752     1.13     22       43.63   -99.9  
  3.17      0.795    22       43.9    -99.9  
  0.781     1.451    22       43.89   -99.9  
  0.146     0.822    22       42.59   -99.9  
  0.734     1.641    22       43.99   -99.9  
  0.624     0.623    22       42.95   -99.9  
  1.81      2.117    22       44.63   -99.9  
  0.548     2.052    22       44.08   -99.9  
  0.744     0.737    22       43.19   -99.9  
  0.596     1.608    22       43.88   -99.9  
  0.547     2.944    22       44.43   -99.9  
  0.608     0.695    22       43.04   -99.9  
  0.271     0.333    22       41.96   -99.9  
  0.0408    1.826    22       42.84   -99.9  
  0.155     0.826    22       42.62   -99.9  
  0.237     0.345    22       41.94   -99.9  
  0.0491    0.91     22       42.22   -99.9  
  1.69      1.459    22       44.23   -99.9  
  0.322     0.438    22       42.31   -99.9  
  0.522     2.933    22       44.4    -99.9  
  2.88      0.103    22       41.88   -99.9  
  0.189     1.011    22       42.91   -99.9  
  0.367     0.896    22       43.08   -99.9  
  0.444     2.889    22       44.32   -99.9  
  0.537     0.812    22       43.15   -99.9  
  0.0641    1.177    22       42.6    -99.9  
  0.438     2.203    22       44.05   -99.9  
  0.398     1.579    22       43.69   -99.9  
  0.23      1.558    22       43.43   -99.9  
  0.563     0.728    22       43.06   -99.9  
  0.154     0.307    22       41.64   -99.9  
  1.09      1.856    22       44.28   -99.9  
  8.9       0.71     8        44.23   -99.0  
  0.3832    0.224    22       41.73   -99.9  
  0.134     1.326    22       43.04   -99.9  
  58.4      0.364    22       44.38   -99.9  
  1.76      1.041    22       43.91   -99.9  
  4.34      1.067    22       44.33   -99.9  
  0.779     1.56     22       43.97   -99.9  
  0.46      1.405    22       43.63   -99.9  
  0.2493    1.854    22       43.64   -99.9  
  0.411     2.429    22       44.12   -99.9  
  0.236     1.235    22       43.21   -99.9  
  0.196     1.983    22       43.6    -99.9  
  0.8549    1.22     22       43.76   -99.9  
  4.0       0.766    22       43.96   -99.9  
  0.308     1.98     22       43.8    -99.9  
  0.492     0.96     8        43.28   -99.0  
  1.4317    1.784    22       44.36   -99.9  
  0.5181    1.56     22       43.79   -99.9  
  3.66      1.556    22       44.63   -99.9  
  0.175     0.56     8        42.29   -99.0  
  0.3       0.835    22       42.92   -99.9  
  0.476     0.634    22       42.84   -99.9  
  0.876     2.935    22       44.63   -99.9  
  0.327     0.305    22       41.96   -99.9  
  0.087     0.738    22       42.26   -99.9  
  3.08      1.407    22       44.46   -99.9  
  0.611     0.705    22       43.06   -99.9  
  0.133     0.607    22       42.25   -99.9  
  0.113     0.733    22       42.37   -99.9  
  0.189     0.345    22       41.84   -99.9  
  0.139     0.704    22       42.42   -99.9  
  2.41      0.34     22       42.93   -99.9  
  0.268     3.609    22       44.31   -99.9  
  1.72      2.919    22       44.92   -99.9  
  0.842     1.613    22       44.03   -99.9  
  0.277     1.359    22       43.38   -99.9  
  1.75      1.111    22       43.98   -99.9  
  0.267     2.57     8        43.99   -99.0  
  0.138     1.156    22       42.91   -99.9  
  0.5984    1.494    22       43.81   -99.9  
  0.1112    0.866    22       42.53   -99.9  
  0.0865    1.433    22       42.93   -99.9  
  0.337     0.358    22       42.13   -99.9  
  0.0453    0.742    22       41.98   -99.9  
  0.2956    2.502    22       44.01   -99.9  
  0.7591    1.36     22       43.82   -99.9  
  0.0572    1.355    22       42.69   -99.9  
  0.6067    1.484    22       43.81   -99.9  
  0.0405    1.5      8        42.64   -99.0  
  4.8925    1.236    22       44.53   -99.9  
  1.2257    0.445    22       42.9    -99.9  
  0.902     2.003    22       44.27   -99.9  
  0.0703    0.569    22       41.91   -99.9  
  0.7025    1.829    22       44.08   -99.9  
  0.5572    1.248    22       43.6    -99.9  
  0.273     1.183    22       43.23   -99.9  
  0.0953    0.668    22       42.2    -99.9  
  0.6159    1.231    22       43.63   -99.9  
  0.0479    1.24     8        42.52   -99.0  
  0.3265    1.567    22       43.59   -99.9  
  0.3677    2.947    22       44.26   -99.9  
  0.1998    0.53     22       42.29   -99.9  
  0.0442    1.861    22       42.89   -99.9  
  0.6932    0.874    22       43.33   -99.9  
  0.1442    1.035    22       42.82   -99.9  
  0.4481    0.748    22       42.99   -99.9  
  0.0663    0.86     8        42.3    -99.0  
  0.3842    1.343    22       43.51   -99.9  
  0.0751    5.07     22       44.07   -99.9  
  0.1164    0.735    22       42.38   -99.9  
  0.0543    1.23     22       42.57   -99.9  
  0.2338    2.214    22       43.78   -99.9  
  0.2606    2.335    22       43.88   -99.9  
  0.1452    2.941    22       43.85   -99.9  
  0.0787    0.419    22       41.65   -99.9  
  0.1288    2.406    22       43.61   -99.9  
  0.089     0.846    22       42.41   -99.9  
  0.1452    1.189    22       42.96   -99.9  
  0.133     2.46     8        43.64   -99.0  
  0.2637    0.834    22       42.87   -99.9  
  0.2245    0.42     22       42.11   -99.9  
  0.1751    1.361    22       43.18   -99.9  
  0.7364    1.618    22       43.98   -99.9  
  0.1267    0.83     22       42.54   -99.9  
  0.4893    1.811    22       43.91   -99.9  
  0.138     0.678    22       42.38   -99.9  
  0.377     0.96     8        43.16   -99.0  
  0.081     2.676    22       43.51   -99.9  
  0.0522    2.536    22       43.27   -99.9  
  0.6716    0.337    22       42.37   -99.9  
  0.3265    2.411    22       44.01   -99.9  
  0.3265    0.895    22       43.03   -99.9  
  0.3667    1.519    22       43.61   -99.9  
  0.1782    0.765    22       42.61   -99.9  
  0.1018    1.092    22       42.72   -99.9  
  1.3184    1.135    22       43.88   -99.9  
  1.32      2.506    22       44.66   -99.9  
  2.62      1.243    22       44.27   -99.9  
  0.1514    0.971    22       42.78   -99.9  
  0.965     0.668    22       43.2    -99.9  
  0.107     0.97     8        42.63   -99.0  
  0.1463    0.711    22       42.45   -99.9  
  0.3399    1.664    22       43.67   -99.9  
  0.1184    0.971    22       42.67   -99.9  
  0.0816    2.009    22       43.23   -99.9  
  1.33      0.876    22       43.62   -99.9  
  0.311     0.267    22       41.81   -99.9  
  0.0755    0.965    22       42.47   -99.9  
  0.501     1.61     8        43.8    -99.0  
  1.3184    1.679    22       44.27   -99.9  
  0.2204    2.076    22       43.7    -99.9  
  0.2256    0.831    22       42.79   -99.9  
  0.1174    0.323    22       41.57   -99.9  
  0.0732    1.01     8        42.5    -99.0  
  0.207     0.48     8        42.2    -99.0  
  0.1504    0.442    22       41.98   -99.9  
  0.527     2.389    22       44.21   -99.9  
  0.4264    1.148    22       43.4    -99.9  
  0.3193    0.73     22       42.81   -99.9  
  0.694     0.247    22       42.08   -99.9  
  2.86      0.33     8        42.98   -99.0  
  0.0569    4.16     22       43.77   -99.9  
  0.759     1.79     22       44.09   -99.9  
  0.0313    0.958    22       42.08   -99.9  
  0.079     0.958    22       42.48   -99.9  
  1.25      1.315    22       44.0    -99.9  
  0.215     0.694    22       42.59   -99.9  
  0.2606    1.867    22       43.67   -99.9  
  1.5965    0.893    22       43.72   -99.9  
  0.4357    1.147    22       43.41   -99.9  
  0.2009    0.53     22       42.29   -99.9  
  0.1844    1.681    22       43.41   -99.9  
  0.0935    1.76     22       43.16   -99.9  
  0.306     0.831    22       42.93   -99.9  
  0.0687    0.497    22       41.76   -99.9  
  0.377     2.215    22       43.99   -99.9  
  2.5956    0.623    22       43.56   -99.9  
  0.3966    2.028    22       43.93   -99.9  
  0.0608    1.001    22       42.41   -99.9  
  0.1318    1.119    22       42.86   -99.9  
  0.0451    0.95     8        42.23   -99.0  
  0.1391    2.384    22       43.63   -99.9  
  0.2225    0.346    22       41.91   -99.9  
  0.151     0.87     22       42.67   -99.9  
  0.366     0.369    22       42.19   -99.9  
  0.3286    0.623    22       42.67   -99.9  
  0.0388    0.76     22       41.94   -99.9  
  0.4656    1.161    22       43.45   -99.9  
  0.17      1.069    22       42.92   -99.9  
  1.4832    2.029    22       44.5    -99.9  
  0.466     0.218    22       41.79   -99.9  
  0.245     0.84     8        42.84   -99.0  
  0.2596    0.679    22       42.65   -99.9  
  0.3203    0.91     22       43.04   -99.9  
  0.146     1.405    22       43.13   -99.9  
  0.342     0.707    22       42.81   -99.9  
  0.399     2.75     8        44.23   -99.0  
  0.355     0.68     8        42.79   -99.0  
  0.5624    1.571    22       43.83   -99.9  
  0.475     3.05     8        44.4    -99.0  
  0.4202    2.046    22       43.96   -99.9  
  0.1401    4.251    22       44.18   -99.9  
  0.1494    0.372    22       41.81   -99.9  
  0.0752    1.14     8        42.64   -99.0  
  0.7941    2.615    22       44.48   -99.9  
  0.308     0.34     22       42.04   -99.9  
  0.0204    1.103    22       42.04   -99.9  
  0.048     0.728    22       41.99   -99.9  
  0.0414    2.548    22       43.17   -99.9  
  1.3699    0.355    22       42.73   -99.9  
  0.1143    1.052    22       42.74   -99.9  
  0.146     1.48     8        43.19   -99.0  
  8.4151    1.154    22       44.7    -99.9  
  1.5759    1.186    22       44.0    -99.9  
  0.743     0.51     8        42.82   -99.0  
  0.3924    0.952    22       43.17   -99.9  
  0.14      0.364    22       41.76   -99.9  
  0.483     0.736    22       43.0    -99.9  
  0.0738    1.58     8        42.95   -99.0  
  1.1536    0.339    22       42.61   -99.9  
  0.0422    0.883    22       42.13   -99.9  
  0.1823    3.086    22       43.99   -99.9  
  0.1092    0.359    22       41.64   -99.9  
  0.0768    0.633    22       42.05   -99.9  
  0.1184    0.763    22       42.43   -99.9  
  8.858     1.024    22       44.6    -99.9  
  1.8849    1.753    22       44.46   -99.9  
  0.29      1.25     8        43.31   -99.0  
  0.2554    0.955    22       42.99   -99.9  
  0.093     0.38     8        41.63   -99.0  
  0.0571    1.246    22       42.6    -99.9  
  0.1001    1.225    22       42.83   -99.9  
  0.1112    0.914    22       42.58   -99.9  
  0.1875    1.053    22       42.95   -99.9  
  0.03      2.177    22       42.88   -99.9  
  0.193     0.52     8        42.25   -99.0  
  0.548     2.048    22       44.08   -99.9  
  1.0238    0.686    22       43.26   -99.9  
  0.0834    3.371    22       43.74   -99.9  
  0.5366    2.277    22       44.17   -99.9  
  0.625     0.9      8        43.32   -99.0  
  0.2946    2.191    22       43.88   -99.9  
  0.6087    1.921    22       44.06   -99.9  
  1.78      0.47     8        43.12   -99.0  
  0.4429    2.804    22       44.29   -99.9  
  1.69      1.02     8        43.88   -99.0  
  0.1504    0.659    22       42.38   -99.9  
  0.2863    2.212    22       43.87   -99.9  
  1.2154    0.35     22       42.66   -99.9  
  0.914     1.45     8        43.96   -99.0  
  0.1679    2.25     22       43.66   -99.9  
  0.1792    3.515    22       44.11   -99.9  
  2.22      0.52     22       43.31   -99.9  
  0.8662    0.552    22       42.97   -99.9  
  0.1154    1.272    22       42.93   -99.9  
  0.857     2.018    22       44.26   -99.9  
  0.0277    1.246    22       42.29   -99.9  
  0.9517    2.497    22       44.51   -99.9  
  0.274     0.622    22       42.59   -99.9  
  0.2915    0.893    22       42.98   -99.9  
  0.0781    0.987    22       42.51   -99.9  
  0.0917    1.332    22       42.88   -99.9  
  0.0381    0.96     8        42.17   -99.0  
  0.5964    1.033    22       43.44   -99.9  
  0.0562    0.691    22       42.0    -99.9  
  0.276     2.136    22       43.82   -99.9  
  0.0699    2.939    22       43.53   -99.9  
  14.42     0.372    22       43.8    -99.9  
  0.412     1.835    22       43.85   -99.9  
  0.857     2.18     8        44.33   -99.0  
  1.1742    1.177    22       43.86   -99.9  
  0.1411    0.893    22       42.66   -99.9  
  0.6386    1.92     22       44.08   -99.9  
  0.0562    3.189    22       43.52   -99.9  
  0.18      1.39     8        43.21   -99.0  
  0.0619    0.437    22       41.59   -99.9  
  0.0865    0.732    22       42.25   -99.9  
  0.4625    2.681    22       44.27   -99.9  
  0.3399    0.36     22       42.13   -99.9  
  4.41      0.372    22       43.28   -99.9  
  0.7292    1.165    22       43.64   -99.9  
  0.3873    0.838    22       43.04   -99.9  
  0.0858    1.25     8        42.79   -99.0  
  0.2544    2.134    22       43.79   -99.9  
  0.0375    1.103    22       42.3    -99.9  
  0.2462    0.85     22       42.85   -99.9  
  1.2978    0.916    22       43.65   -99.9  
  0.246     1.04     22       43.06   -99.9  
  0.0815    1.238    22       42.75   -99.9  
  0.2925    1.574    22       43.55   -99.9  
  0.3986    2.347    22       44.07   -99.9  
  0.7746    0.528    22       42.87   -99.9  
  0.1463    1.61     22       43.27   -99.9  
  0.1751    2.065    22       43.59   -99.9  
  0.0899    1.52     8        43.0    -99.0  
  0.1885    0.865    22       42.76   -99.9  
  0.0644    0.6      22       41.92   -99.9  
  0.651     0.667    22       43.03   -99.9  
  0.1154    0.448    22       41.88   -99.9  
  0.277     2.07     8        43.79   -99.0  
  0.0719    1.373    22       42.8    -99.9  
  0.773     0.68     8        43.13   -99.0  
  0.2833    1.53     22       43.51   -99.9  
  0.488     1.15     8        43.46   -99.0  
  0.0741    1.649    22       43.0    -99.9  
  0.618     1.71     22       43.95   -99.9  
  0.0453    0.97     8        42.25   -99.0  
  0.5902    2.281    22       44.22   -99.9  
  0.0821    1.94     8        43.2    -99.0  
  0.1823    0.671    22       42.49   -99.9  
  0.38      2.22     8        44.0    -99.0  
  0.5819    2.181    22       44.17   -99.9  
  0.0541    2.73     8        43.35   -99.0  
  0.0829    2.64     8        43.51   -99.0  
  0.2266    0.46     22       42.2    -99.9  
  1.07      0.926    22       43.58   -99.9  
  0.5984    2.181    22       44.18   -99.9  
  0.896     1.38     8        43.9    -99.0  
  0.4831    1.514    22       43.73   -99.9  
  0.2534    1.6      22       43.5    -99.9  
  0.3646    1.734    22       43.74   -99.9  
  0.184     0.785    22       42.65   -99.9  
  1.6068    2.222    22       44.63   -99.9  
  1.87      1.966    22       44.57   -99.9  
  0.172     0.762    22       42.59   -99.9  
  0.513     1.899    22       43.98   -99.9  
  0.0436    2.24     8        43.07   -99.0  
  0.1813    0.935    22       42.82   -99.9  
  0.1349    1.813    22       43.35   -99.9  
  0.1081    2.982    22       43.74   -99.9  
  0.725     1.337    22       43.78   -99.9  
  0.057     3.52     8        43.61   -99.0  
  0.6633    1.162    22       43.6    -99.9  
  0.0468    0.47     8        41.54   -99.0  
  0.239     3.345    22       44.19   -99.9  
  1.1021    2.941    22       44.73   -99.9  
  0.1442    2.09     22       43.52   -99.9  
  0.534     0.591    22       42.83   -99.9  
  0.0663    0.94     8        42.39   -99.0  
  5.3766    0.375    22       43.38   -99.9  
  5.6341    0.133    22       42.41   -99.9  
  1.8849    0.36     22       42.88   -99.9  
  0.171     2.21     8        43.65   -99.0  
  1.7407    0.378    22       42.89   -99.9  
  0.305     0.48     22       42.37   -99.9  
  2.88      0.6      8        43.57   -99.0  
  0.193     2.23     8        43.71   -99.0  
  1.3596    1.027    22       43.79   -99.9  
  0.717     1.115    22       43.59   -99.9  
  0.1772    0.864    22       42.73   -99.9  
  0.1926    0.905    22       42.81   -99.9  
  1.2978    0.55     22       43.14   -99.9  
  0.378     0.78     8        42.95   -99.0  
  0.4996    0.731    22       43.01   -99.9  
  0.1112    3.01     22       43.76   -99.9  
  0.2009    1.191    22       43.11   -99.9  
  0.094     0.84     8        42.42   -99.0  
  0.378     1.711    22       43.74   -99.9  
  1.0815    1.65     22       44.16   -99.9  
  0.134     1.88     8        43.38   -99.0  
  10.815    0.345    22       43.6    -99.9  
  0.274     0.621    22       42.59   -99.9  
  1.43      2.083    22       44.51   -99.9  
  0.2987    2.704    22       44.08   -99.9  
  0.7375    1.258    22       43.73   -99.9  
  0.9682    0.689    22       43.24   -99.9  
  0.248     0.901    22       42.92   -99.9  
  0.17      1.18     22       43.02   -99.9  
  0.3162    0.734    22       42.81   -99.9  
  0.2081    2.147    22       43.7    -99.9  
  0.0663    2.909    22       43.5    -99.9  
  0.6273    0.658    22       43.0    -99.9  
  1.29      0.84     8        43.56   -99.0  
  0.189     0.371    22       41.91   -99.9  
  0.9239    1.407    22       43.94   -99.9  
  0.042     0.84     8        42.08   -99.0  
  0.31      1.625    22       43.6    -99.9  
  0.6087    1.488    22       43.81   -99.9  
  0.769     1.17     8        43.67   -99.0  
  0.2606    1.743    22       43.6    -99.9  
  0.0863    1.022    22       42.59   -99.9  
  3.34      1.918    22       44.8    -99.9  
  0.807     2.3      8        44.36   -99.0  
  1.59      1.26     22       44.06   -99.9  
  2.27      0.971    22       43.95   -99.9  
  0.3955    1.323    22       43.51   -99.9  
  0.1       1.26     22       42.86   -99.9  
  2.36      1.8      22       44.59   -99.9  
  1.37      0.969    22       43.73   -99.9  
  0.994     2.29     22       44.45   -99.9  
  0.9054    0.961    22       43.54   -99.9  
  0.407     0.44     8        42.41   -99.0  
  0.0995    2.162    22       43.39   -99.9  
  0.116     0.97     8        42.66   -99.0  
  0.138     3.155    22       43.9    -99.9  
  2.75      0.31     8        42.9    -99.0  
  0.0979    0.395    22       41.69   -99.9  
  1.2978    1.792    22       44.32   -99.9  
  1.854     0.85     22       43.73   -99.9  
  0.892     0.56     22       42.99   -99.9  
  0.1195    1.257    22       42.94   -99.9  
  0.236     0.585    22       42.46   -99.9  
  0.244     2.92     8        44.07   -99.0  
  0.9517    0.425    22       42.75   -99.9  
  1.33      1.509    22       44.16   -99.9  
  0.535     0.447    22       42.55   -99.9  
  0.0621    2.81     22       43.44   -99.9  
  6.17      0.91     8        44.32   -99.0  
  0.3481    2.27     22       43.98   -99.9  
  0.142     1.395    22       43.11   -99.9  
  4.13      0.44     8        43.42   -99.0  
  0.0409    1.23     8        42.45   -99.0  
  0.18      1.18     8        43.05   -99.0  
  0.1494    0.976    22       42.78   -99.9  
  0.151     0.96     8        42.77   -99.0  
  3.3269    0.36     22       43.13   -99.9  
  0.139     0.748    22       42.48   -99.9  
  0.0437    0.57     8        41.7    -99.0  
  0.5613    1.171    22       43.54   -99.9  
  0.0358    1.02     8        42.2    -99.0  
  0.0453    1.25     8        42.51   -99.0  
  2.49      1.506    22       44.43   -99.9  
  0.0803    1.01     8        42.54   -99.0  
  4.5629    0.964    22       44.25   -99.9  
  0.078     1.25     8        42.74   -99.0  
  1.22      0.626    22       43.24   -99.9  
  0.823     0.99     8        43.53   -99.0  
  0.3605    2.008    22       43.88   -99.9  
  0.124     0.508    22       42.04   -99.9  
  0.169     2.028    22       43.56   -99.9  
  0.085     0.96     8        42.52   -99.0  
  0.686     0.899    22       43.36   -99.9  
  0.1936    0.889    22       42.8    -99.9  
  0.137     0.972    22       42.74   -99.9  
  0.2565    1.457    22       43.41   -99.9  
  0.714     0.96     8        43.44   -99.0  
  2.8222    1.459    22       44.46   -99.9  
  0.249     0.56     8        42.44   -99.0  
  0.0427    1.15     8        42.4    -99.0  
  4.8616    1.237    22       44.53   -99.9  
  0.0735    1.99     8        43.18   -99.0  
  0.0569    0.49     22       41.66   -99.9  
  0.303     0.422    22       42.24   -99.9  
  1.0918    0.909    22       43.57   -99.9  
  0.237     0.96     8        42.96   -99.0  
  0.2215    0.938    22       42.91   -99.9  
  0.158     2.238    22       43.63   -99.9  
  0.1432    0.911    22       42.69   -99.9  
  0.241     2.696    22       43.99   -99.9  
  0.1267    0.362    22       41.71   -99.9  
  0.5284    1.189    22       43.52   -99.9  
  0.383     0.579    22       42.66   -99.9  
  0.2843    1.528    22       43.51   -99.9  
  1.07      1.264    22       43.89   -99.9  
  0.4151    1.021    22       43.27   -99.9  
  0.371     0.832    22       43.01   -99.9  
  0.2462    0.741    22       42.72   -99.9  
  1.1536    1.132    22       43.81   -99.9  
  0.412     1.122    22       43.36   -99.9  
  1.8128    1.517    22       44.3    -99.9  
  4.4084    1.122    22       44.39   -99.9  
  0.0971    1.127    22       42.73   -99.9  
  0.1916    2.095    22       43.65   -99.9  
  0.655     0.957    22       43.4    -99.9  
  0.6283    0.657    22       43.0    -99.9  
  0.0549    3.07     8        43.47   -99.0  
  0.5387    1.105    22       43.46   -99.9  
  0.6911    0.943    22       43.41   -99.9  
  0.055     0.764    22       42.1    -99.9  
  0.0758    1.582    22       42.97   -99.9  
  0.5438    2.414    22       44.23   -99.9  
  0.1277    0.931    22       42.66   -99.9  
  0.3317    1.846    22       43.76   -99.9  
  0.4542    1.796    22       43.87   -99.9  
  0.3481    0.786    22       42.93   -99.9  
  0.2575    0.625    22       42.56   -99.9  
  0.1524    0.667    22       42.4    -99.9  
  1.442     0.882    22       43.66   -99.9  
  0.1267    0.968    22       42.7    -99.9  
  1.3287    0.969    22       43.72   -99.9  
  0.1246    1.294    22       42.98   -99.9  
  0.272     0.937    22       43.0    -99.9  
  0.274     1.301    22       43.33   -99.9  
  1.0259    0.406    22       42.73   -99.9  
  0.7395    1.641    22       43.99   -99.9  
  0.3976    1.808    22       43.82   -99.9  
  0.9116    0.83     22       43.4    -99.9  
  0.4573    0.868    22       43.15   -99.9  
  0.6726    1.582    22       43.91   -99.9  
  0.3193    1.004    22       43.14   -99.9  
  0.1184    1.08     22       42.78   -99.9  
  0.379     1.32     22       43.48   -99.9  
  0.1689    0.698    22       42.49   -99.9  
  0.2338    0.223    22       41.51   -99.9  
  0.136     0.727    22       42.44   -99.9  
  0.0732    1.026    22       42.52   -99.9  
  0.8724    1.458    22       43.95   -99.9  
  0.1514    1.318    22       43.09   -99.9  
  0.1494    1.797    22       43.39   -99.9  
  0.6674    1.798    22       44.04   -99.9  
  0.2225    1.541    22       43.41   -99.9  
  0.0844    0.958    22       42.51   -99.9  
  0.6221    2.082    22       44.15   -99.9  
  1.2257    1.708    22       44.25   -99.9  
  0.2802    2.151    22       43.84   -99.9  
  0.1215    2.042    22       43.42   -99.9  
  0.617     1.514    22       43.83   -99.9  
  0.0505    3.19     8        43.47   -99.0  
  0.3698    1.774    22       43.77   -99.9  
  0.5984    1.271    22       43.65   -99.9  
  0.38      1.782    22       43.78   -99.9  
  0.3481    0.906    22       43.07   -99.9  
  0.4563    0.838    22       43.11   -99.9  
  0.103     1.95     22       43.31   -99.9  
  0.7684    1.339    22       43.81   -99.9  
  3.09      1.295    22       44.38   -99.9  
  0.1792    1.795    22       43.47   -99.9  
  0.1494    1.478    22       43.19   -99.9  
  0.1006    0.892    22       42.52   -99.9  
  0.0645    0.666    22       42.03   -99.9  
  0.0846    0.631    22       42.09   -99.9  
  0.31      0.677    22       42.73   -99.9  
  0.0923    2.51     22       43.5    -99.9  
  0.1267    0.58     22       42.18   -99.9  
  0.37      2.212    22       43.98   -99.9  
  0.0651    1.002    22       42.44   -99.9  
  0.6262    1.916    22       44.07   -99.9  
  0.3811    1.935    22       43.87   -99.9  
  0.5119    0.518    22       42.67   -99.9  
  0.5356    1.436    22       43.72   -99.9  
  1.3699    1.05     22       43.81   -99.9  
  0.0464    2.743    22       43.29   -99.9  
  0.5624    1.834    22       43.98   -99.9  
  0.9054    0.329    22       42.47   -99.9  
  0.6716    1.281    22       43.7    -99.9  
  0.8724    0.826    22       43.38   -99.9  
  0.6541    0.35     22       42.39   -99.9  
  0.343     2.032    22       43.87   -99.9  
  6.38      1.51     22       44.85   -99.9  
  0.2441    3.328    22       44.19   -99.9  
  1.0712    0.667    22       43.25   -99.9  
  0.4439    1.369    22       43.59   -99.9  
  3.0797    2.031    22       44.82   -99.9  
  0.8261    0.988    22       43.53   -99.9  
  0.629     0.905    22       43.33   -99.9  
  0.0683    1.3      22       42.73   -99.9  
  0.2317    0.618    22       42.51   -99.9  
  0.049     1.368    22       42.63   -99.9  
  0.6489    0.894    22       43.33   -99.9  
  0.0592    1.776    22       42.97   -99.9  
  0.1504    0.423    22       41.94   -99.9  
  0.1751    1.393    22       43.2    -99.9  
  0.372     0.319    22       42.06   -99.9  
  0.127     4.174    22       44.12   -99.9  
  0.7591    1.511    22       43.92   -99.9  
  0.753     2.399    22       44.37   -99.9  
  0.0997    2.044    22       43.34   -99.9  
  0.0555    0.969    22       42.34   -99.9  
  7.52      1.962    22       45.17   -99.9  
  0.3296    2.076    22       43.87   -99.9  
  0.1463    0.353    22       41.75   -99.9  
  1.2463    0.621    22       43.24   -99.9  
  0.0781    0.954    22       42.47   -99.9  
  3.35      1.592    22       44.62   -99.9  
  0.481     0.478    22       42.57   -99.9  
  1.34      1.429    22       44.11   -99.9  
  0.0277    0.95     22       42.02   -99.9  
  0.063     0.839    22       42.25   -99.9  
  0.363     1.784    22       43.77   -99.9  
  2.0291    0.982    22       43.92   -99.9  
  0.49      1.597    22       43.79   -99.9  
  0.1195    3.371    22       43.9    -99.9  
  0.0582    0.859    22       42.24   -99.9  
  1.04      0.899    22       43.54   -99.9  
  0.1071    1.657    22       43.16   -99.9  
  0.0362    1.64     22       42.68   -99.9  
  0.812     1.234    22       43.75   -99.9  
  0.0904    0.742    22       42.28   -99.9  
  0.107     1.339    22       42.95   -99.9  
  0.346     0.638    22       42.71   -99.9  
  0.151     1.268    22       43.05   -99.9  
  1.4523    0.728    22       43.47   -99.9  
  0.461     1.518    22       43.71   -99.9  
  0.267     1.609    22       43.53   -99.9  
  2.18      1.566    22       44.41   -99.9  
  0.462     1.541    22       43.73   -99.9  
  0.2235    0.891    22       42.86   -99.9  
  0.0993    0.538    22       42.0    -99.9  
  0.4501    2.48     22       44.18   -99.9  
  0.0543    2.962    22       43.43   -99.9  
  0.0762    0.866    22       42.36   -99.9  
  0.1627    2.918    22       43.89   -99.9  
  0.057     1.169    22       42.54   -99.9  
  0.238     1.19     22       43.18   -99.9  
  0.561     0.518    22       42.71   -99.9  
  0.0524    1.48     8        42.74   -99.0  
  1.1433    0.693    22       43.31   -99.9  
  0.1895    2.766    22       43.91   -99.9  
  0.0775    0.371    22       41.52   -99.9  
  0.3234    1.008    22       43.15   -99.9  
  0.2163    2.258    22       43.77   -99.9  
  0.2328    3.029    22       44.08   -99.9  
  0.143     1.561    22       43.23   -99.9  
  0.2297    0.926    22       42.91   -99.9  
  0.0612    1.147    22       42.55   -99.9  
  0.0321    1.778    22       42.71   -99.9  
  0.0681    1.177    22       42.62   -99.9  
  0.0817    0.814    22       42.33   -99.9  
  0.0808    2.158    22       43.3    -99.9  
  0.0896    2.42     8        43.45   -99.0  
  0.2925    0.688    22       42.72   -99.9  
  0.0453    1.258    22       42.52   -99.9  
  0.1184    0.361    22       41.68   -99.9  
  0.3852    0.899    22       43.11   -99.9  
  0.0936    4.66     22       44.09   -99.9  
  0.0318    3.498    22       43.35   -99.9  
  1.2566    0.979    22       43.7    -99.9  
  0.0679    0.758    22       42.18   -99.9  
  0.065     0.775    22       42.18   -99.9  
  0.153     1.68     8        43.33   -99.0  
  0.1092    1.796    22       43.25   -99.9  
  0.962     0.977    22       43.59   -99.9  
  0.1112    0.862    22       42.52   -99.9  
  0.0903    0.354    22       41.54   -99.9  
  0.0398    0.885    22       42.1    -99.9  
  0.0623    0.946    22       42.37   -99.9  
  0.078     1.919    22       43.17   -99.9  
  0.0588    2.99     22       43.47   -99.9  
  0.1833    2.101    22       43.63   -99.9  
  0.612     1.482    22       43.81   -99.9  
  0.0572    1.245    22       42.6    -99.9  
  0.0462    0.687    22       41.91   -99.9  
  0.0914    1.617    22       43.07   -99.9  
  0.0826    1.155    22       42.69   -99.9  
  0.996     0.985    22       43.61   -99.9  
  2.2969    1.598    22       44.46   -99.9  
  0.059     0.987    22       42.38   -99.9  
  0.987     0.675    22       43.23   -99.9  
  0.709     2.03     22       44.18   -99.9  
  1.8643    0.185    22       42.23   -99.9  
  1.81      1.48     22       44.28   -99.9  
  0.0776    1.314    22       42.79   -99.9  
  0.045     1.215    22       42.48   -99.9  
  0.1071    0.933    22       42.59   -99.9  
  0.078     0.749    22       42.23   -99.9  
  0.506     0.98     8        43.31   -99.0  
  0.0901    3.021    22       43.67   -99.9  
  0.0433    0.492    22       41.55   -99.9  
  0.1648    0.347    22       41.78   -99.9  
  0.5964    1.932    22       44.06   -99.9  
  0.1277    0.656    22       42.31   -99.9  
  1.56      0.582    22       43.27   -99.9  
