# col1      z        survey   logLX   mag    
  0.209     2.913    6        44.0    22.4   
  1.21      1.54     6        44.14   23.1   
  0.0881    0.417    6        41.69   22.1   
  0.33      2.567    6        44.08   23.0   
  0.178     1.877    6        43.51   24.0   
  0.412     2.945    6        44.3    20.4   
  0.289     1.213    6        43.28   23.0   
  1.25      0.877    6        43.59   20.8   
  0.601     1.13     6        43.53   22.7   
  0.0309    1.369    6        42.43   24.8   
  3.42      0.394    6        43.23   19.7   
  0.694     1.135    6        43.6    23.1   
  9.25      1.203    6        44.78   19.0   
  0.2       0.607    6        42.42   20.9   
  0.0738    0.7      6        42.14   22.0   
  1.21      0.137    6        41.76   18.9   
  0.159     0.704    6        42.48   22.4   
  0.232     2.269    6        43.81   -99.0  
  0.873     1.212    6        43.76   22.1   
  1.07      1.881    6        44.29   21.3   
  0.219     2.352    6        43.81   24.3   
  1.4       1.94     6        44.43   20.6   
  0.0714    1.474    6        42.87   23.9   
  0.218     1.677    6        43.48   21.9   
  0.264     2.736    6        44.04   22.1   
  2.51      1.437    6        44.39   20.5   
  0.515     1.674    6        43.85   22.0   
  0.0512    1.724    6        42.88   24.2   
  0.129     1.379    6        43.06   23.0   
  1.34      0.462    6        42.98   20.3   
  0.301     2.158    6        43.87   23.4   
  0.596     1.534    6        43.83   21.0   
  0.275     1.594    6        43.53   22.9   
  0.106     0.383    6        41.69   20.4   
  0.982     2.416    6        44.49   21.3   
  0.794     2.114    6        44.27   22.1   
  0.203     0.807    6        42.72   21.3   
  0.075     1.648    6        43.0    24.3   
  0.0309    0.782    6        41.87   22.9   
  0.0666    1.391    6        42.78   24.6   
  0.114     1.673    6        43.2    23.8   
  0.0678    1.357    6        42.77   24.4   
  0.858     1.734    6        44.11   20.7   
  0.507     0.462    6        42.56   24.2   
  0.117     1.524    6        43.12   22.7   
  0.119     1.691    6        43.23   25.4   
  0.655     1.624    7        43.93   22.0   
  0.0882    1.37     7        42.89   24.5   
  0.0497    1.9399   7        42.98   24.6   
  0.132     2.304    7        43.58   22.6   
  0.534     1.318    7        43.63   22.2   
  0.544     0.665    7        42.95   22.3   
  0.0132    1.236    7        41.96   23.4   
  0.3       0.857    7        42.95   23.6   
  0.123     2.394    7        43.58   24.9   
  0.121     0.6705   7        42.31   21.6   
  0.0618    2.2984   7        43.24   25.1   
  0.0115    1.212    7        41.88   24.0   
  0.102     0.665    7        42.22   -1.0   
  0.00674   2.181    7        42.23   24.1   
  0.514     1.04     7        43.38   22.4   
  0.291     2.7212   7        44.08   23.5   
  0.0322    1.437    7        42.5    24.3   
  0.0391    1.608    7        42.7    26.9   
  0.0339    0.679    7        41.77   21.4   
  0.0417    1.625    7        42.73   26.8   
  0.14      2.6123   7        43.72   25.3   
  0.0205    2.47     7        42.83   25.3   
  4.12      0.5457   7        43.63   18.9   
  0.0198    0.7312   7        41.61   23.1   
  0.553     1.6082   7        43.85   22.5   
  0.0154    1.92     7        42.47   -1.0   
  2.01      1.575    7        44.39   18.8   
  0.0484    1.0341   7        42.35   23.6   
  0.00316   1.605    7        41.6    26.2   
  0.227     0.6072   7        42.48   20.4   
  0.0184    2.0263   7        42.59   24.2   
  0.0636    2.5599   7        43.36   26.6   
  0.172     0.671    7        42.46   21.9   
  0.0174    2.3988   7        42.73   25.6   
  0.0568    2.6666   7        43.35   22.8   
  0.422     0.566    7        42.68   21.3   
  0.0323    2.8049   7        43.15   24.2   
  0.06      0.667    7        42.0    24.8   
  0.0208    0.964    7        41.91   22.3   
  0.0133    1.8645   7        42.37   -1.0   
  0.045     2.611    7        43.23   24.5   
  0.0353    1.73     7        42.72   25.3   
  0.0591    1.18     7        42.57   23.1   
  0.00804   1.223    7        41.73   24.0   
  0.0286    2.3027   7        42.91   24.6   
  0.248     1.609    7        43.5    23.3   
  0.131     2.291    7        43.57   26.6   
  0.0116    1.043    7        41.73   23.2   
  0.0198    1.0342   7        41.96   23.7   
  0.015     0.7845   7        41.56   23.4   
