# Z          logLUM_SOFT         
  0.042626   40.28645646974697   
  0.041656   40.30427505047712   
  0.043353   40.31868926994774   
  0.042734   40.330413773349186  
  0.053088   40.380030247967824  
  0.054163   40.40942586867144   
  0.096617   40.44435712565602   
  0.07003    40.45666962942376   
  0.045484   40.53982855837789   
  0.08439    40.55388302664387   
  0.09768    40.56169753265399   
  0.10892    40.59361830812953   
  0.057386   40.610447221442115  
  0.084616   40.62695595143544   
  0.057022   40.63154522783431   
  0.069393   40.669502834104335  
  0.103938   40.670245853074114  
  0.13989    40.674861140737804  
  0.08479    40.681422155721     
  0.044446   40.753046561626526  
  0.053946   40.7561033715851    
  0.098707   40.76312837679913   
  0.138344   40.837525309449596  
  0.139935   40.85829652453388   
  0.10253    40.937417581477135  
  0.137489   41.0021660617565    
  0.141229   41.053078443483415  
  0.073685   41.084933574936706  
  0.17557    41.14860265480609   
  0.163798   41.154119525515846  
  0.084757   41.156851901070006  
  0.139022   41.17782497186468   
  0.183373   41.18892848376085   
  0.141227   41.2030328870147    
  0.166801   41.263636068588106  
  0.264398   41.27921051260139   
  0.140619   41.29797924415936   
  0.228118   41.308777773664715  
  0.138094   41.3111178426625    
  0.176945   41.31281182621208   
  0.149905   41.32939787936104   
  0.192211   41.33081946649583   
  0.137445   41.33324569896195   
  0.158572   41.3368598209168    
  0.160742   41.34674405460484   
  0.269314   41.365862215402544  
  0.204683   41.371990911464906  
  0.087451   41.384174138807026  
  0.227674   41.38898878512471   
  0.13959    41.399500661314605  
  0.139937   41.40976410426634   
  0.147232   41.43584436598443   
  0.437535   41.4412236742426    
  0.191522   41.45484486000851   
  0.277023   41.474361976032625  
  0.203315   41.4844422076424    
  0.084781   41.4970679363985    
  0.178441   41.50406288267868   
  0.083972   41.5051499783199    
  0.174624   41.55071742346927   
  0.07502    41.584331224367524  
  0.228221   41.59150980899465   
  0.244468   41.594723946409744  
  0.215161   41.61161711055433   
  0.108228   41.61235994796777   
  0.19649    41.618361931109874  
  0.157248   41.62664826847401   
  0.199463   41.62777537522929   
  0.190982   41.630224410752426  
  0.208114   41.6352826379982    
  0.238185   41.64561873824269   
  0.236306   41.64787176530623   
  0.157598   41.67191301244158   
  0.197875   41.67660216958201   
  0.102903   41.684935082640884  
  0.070816   41.694605198933566  
  0.258876   41.69469292633148   
  0.331135   41.69801350393918   
  0.335407   41.69870934944258   
  0.138659   41.70199947488963   
  0.278552   41.70509361054786   
  0.29295    41.70629095725875   
  0.140217   41.72493091419239   
  0.298303   41.72989340396323   
  0.233657   41.73247417728119   
  0.069274   41.73519954842231   
  0.35763    41.73663549768682   
  0.261189   41.73965144370937   
  0.329802   41.74123041102546   
  0.238027   41.74390155048518   
  0.11899    41.74616696437728   
  0.264093   41.746712022516654  
  0.178011   41.75785134368557   
  0.281009   41.758154621967385  
  0.231116   41.763353108748205  
  0.377939   41.76945117940203   
  0.592954   41.783689236347314  
  0.177969   41.787460474518404  
  0.29779    41.79351100579285   
  0.205615   41.79622731402943   
  0.365641   41.80488874462238   
  0.227696   41.80604423574808   
  0.370114   41.80611211016908   
  0.284471   41.81743314411138   
  0.220651   41.81967551999429   
  0.212647   41.82471144346473   
  0.257724   41.82549102987942   
  0.345242   41.83941519268389   
  0.180626   41.84167225007363   
  0.148012   41.84781934729523   
  0.216152   41.85454893581295   
  0.265434   41.85823633542951   
  0.190123   41.85961857877218   
  0.133951   41.86787978345838   
  0.297404   41.87308798559028   
  0.290891   41.87384353322343   
  0.196776   41.87783189149289   
  0.382029   41.880127322216616  
  0.328142   41.89856064493971   
  0.291802   41.89872518158949   
  0.249263   41.901730691729206  
  0.294035   41.901839592051225  
  0.433262   41.90189403197382   
  0.275328   41.902166129271045  
  0.148389   41.904011883597384  
  0.098337   41.91078443479283   
  0.179908   41.91444894069855   
  0.277642   41.917925422064734  
  0.178368   41.91965328231036   
  0.139958   41.93227077589948   
  0.136931   41.93313282372673   
  0.373493   41.93419534934788   
  0.292885   41.94546858513181   
  0.149254   41.95621646924339   
  0.161721   41.95951837697299   
  0.141105   41.96871637746678   
  0.142881   41.96913623359671   
  0.137415   41.974189191118164  
  0.200916   41.987263954122234  
  0.426307   41.99042765848526   
  0.333141   41.99202302776384   
  0.34037    41.99295096057044   
  0.148913   42.00860017176191   
  0.324676   42.01072386539177   
  0.348389   42.011147360775794  
  0.241697   42.012837224705166  
  0.20965    42.01745072951053   
  0.437477   42.021602716028234  
  0.19544    42.02201573981771   
  0.347787   42.02325245963371   
